classification,status,sample_id,case_id,category,expected_route,audio_path,recording_available,transcript,predicted_route,route_correct,pipeline_success,answer_correctness,answer_relevance,answer_faithfulness,citation_valid,refusal_correct,stt_wer,gold_retrieval_hit_at_10,stt_retrieval_hit_at_10,retrieval_degradation,reason_code,stt_ms,query_embedding_ms,vector_search_ms,guardrails_ms,generation_ms,total_e2e_ms,under_200_ms,failure,retrieved_ids_json,citations_json,provenance_json
PENDING,PENDING_REAL_RECORDING,normal-001-normal-01,normal-001,answerable,ANSWER,eval/audio/normal-001-normal-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,normal-002-fast-01,normal-002,answerable,ANSWER,eval/audio/normal-002-fast-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,normal-003-pauses-01,normal-003,answerable,ANSWER,eval/audio/normal-003-pauses-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,normal-004-noise-01,normal-004,answerable,ANSWER,eval/audio/normal-004-noise-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,paraphrase-001-accent-01,paraphrase-001,paraphrased,ANSWER,eval/audio/paraphrase-001-accent-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,paraphrase-002-difficult-01,paraphrase-002,paraphrased,ANSWER,eval/audio/paraphrase-002-difficult-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,paraphrase-003-normal-01,paraphrase-003,paraphrased,ANSWER,eval/audio/paraphrase-003-normal-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,paraphrase-004-fast-01,paraphrase-004,paraphrased,ANSWER,eval/audio/paraphrase-004-fast-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,noisy-001-pauses-01,noisy-001,noisy_speech,ANSWER,eval/audio/noisy-001-pauses-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,noisy-002-noise-01,noisy-002,noisy_speech,ANSWER,eval/audio/noisy-002-noise-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,noisy-003-accent-01,noisy-003,noisy_speech,ANSWER,eval/audio/noisy-003-accent-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,noisy-004-difficult-01,noisy-004,noisy_speech,ANSWER,eval/audio/noisy-004-difficult-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,insufficient-001-normal-01,insufficient-001,insufficient_context,INSUFFICIENT_CONTEXT,eval/audio/insufficient-001-normal-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,insufficient-002-fast-01,insufficient-002,insufficient_context,INSUFFICIENT_CONTEXT,eval/audio/insufficient-002-fast-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
PENDING,PENDING_REAL_RECORDING,insufficient-003-pauses-01,insufficient-003,insufficient_context,INSUFFICIENT_CONTEXT,eval/audio/insufficient-003-pauses-01.wav,False,,,,,,,,,,,,,,REAL_RECORDING_MISSING,,,,,,,,,[],[],{}
