case_id,category,expected_route,predicted_route,correct,reason_code,false_refusal,false_answer,failure_severity,guardrail_latency_ms,input_validation_ms,route_check_ms,evidence_guardrail_ms,grounding_validation_ms,top_score,top_two_gap,top_to_fifth_spread,top_three_mean,retrieval_decision_rule,relevant_evidence_present,grounding_valid,retrieved_ids_json,citations_json
normal-001,normal_answerable,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.0694,0.0344,0.0099,0.0044,0.0207,0.7378749847412109,0.046610116958618164,0.09980905055999756,0.6923234065373739,top_score,True,True,"[""p-4e30291ba19848bb9c88e141"", ""p-26e56367c88ddcdfac5a9de9"", ""p-a4c6c58ee9ff663c159413e1"", ""p-7316bd825dd2d5d19f448980"", ""p-b03ff03fe83117ea176960a5"", ""p-5aa4e4ebb5ca1fafd5c53ac3"", ""p-d776d36cdc1e83c1c6c37ab1"", ""p-b784459440b13b7ec365f678"", ""p-41898b5e8969290abe1513a8"", ""p-d17d485cf7b80f98a362e64f""]","[""p-4e30291ba19848bb9c88e141""]"
normal-002,normal_answerable,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.0358,0.015,0.0063,0.0026,0.0119,0.8075119256973267,0.18655872344970703,0.24521976709365845,0.6678502957026163,top_score,True,True,"[""p-99e9961bd81dc088c86ddf25"", ""p-69aa0504677f3ba496d1b1e3"", ""p-7d9296196643ef0380b35173"", ""p-59a7d9065f759703e3012936"", ""p-504138b9ad1b98043bb6400b"", ""p-b9c77ddf52ffb88b9e3cdaff"", ""p-58a3f6132e860abfd84faf46"", ""p-a1a739eb9832ab0dec3c6794"", ""p-5e1f244ead227210c2441944"", ""p-fd595db48bf14c00521b22c1""]","[""p-99e9961bd81dc088c86ddf25""]"
normal-003,normal_answerable,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.0266,0.0107,0.0052,0.0021,0.0086,0.7469704151153564,0.012725353240966797,0.06158566474914551,0.7282547156016032,top_score,True,True,"[""p-49dea2ff0181c0cb382470dd"", ""p-1651003dc3c6d767e83bec40"", ""p-f42d6dbf87145235bde48e5b"", ""p-5a1a940c33acbb88dd30428c"", ""p-517aeae9afc547125a074941"", ""p-15c0156397dade787f28d3a4"", ""p-4b0425dcd474f165c64d07c0"", ""p-ffbb329c98527cab6af76563"", ""p-71002049412b74d9a2f04eb8"", ""p-74b40bb9a0f02311ea77edf7""]","[""p-49dea2ff0181c0cb382470dd""]"
normal-004,normal_answerable,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.0216,0.0084,0.0044,0.0018,0.007,0.743675708770752,0.024092495441436768,0.07031381130218506,0.722446858882904,top_score,True,True,"[""p-d27e59d151ac28fe77aa0d0c"", ""p-4d0b8d45b50ddd21eebbc6e2"", ""p-08164dd0e26972c0cc67461c"", ""p-1b73c8d4a497af06ccb70d2a"", ""p-b375014a61ef56bc87b7113b"", ""p-5d828b3574737820c227cd3a"", ""p-bff74b1ed72ed1b197219585"", ""p-40c445cd895966099ed42fd5"", ""p-9e601e72714bf942806b3101"", ""p-c8ed95e9fccd6dddcbb1c770""]","[""p-d27e59d151ac28fe77aa0d0c""]"
paraphrase-001,paraphrased,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.0232,0.009,0.0042,0.0019,0.0081,0.6493809223175049,1.0848045349121094e-05,0.03171294927597046,0.6458653211593628,top_two_corroboration,True,True,"[""p-4e30291ba19848bb9c88e141"", ""p-7316bd825dd2d5d19f448980"", ""p-a4c6c58ee9ff663c159413e1"", ""p-26e56367c88ddcdfac5a9de9"", ""p-b03ff03fe83117ea176960a5"", ""p-5aa4e4ebb5ca1fafd5c53ac3"", ""p-41898b5e8969290abe1513a8"", ""p-d776d36cdc1e83c1c6c37ab1"", ""p-b784459440b13b7ec365f678"", ""p-e801237b8d30b20bf32f88ba""]","[""p-4e30291ba19848bb9c88e141"", ""p-7316bd825dd2d5d19f448980"", ""p-5aa4e4ebb5ca1fafd5c53ac3""]"
paraphrase-002,paraphrased,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.0237,0.0104,0.0045,0.002,0.0068,0.7130899429321289,0.10170459747314453,0.1201862096786499,0.640628973642985,top_score,True,True,"[""p-99e9961bd81dc088c86ddf25"", ""p-82171dee46fe0009c1731840"", ""p-69aa0504677f3ba496d1b1e3"", ""p-87fbff3ae5ac2eca87357ee1"", ""p-f3368cceb8b0d7ca98eede31"", ""p-28c9b0d4523c4f2ad89d8954"", ""p-ae387cc29796d73753db6317"", ""p-fa26d07851c0af01511ff22c"", ""p-32a4958ec60ca02c7fa1bc63"", ""p-5de2d83235956bdbbec490b7""]","[""p-99e9961bd81dc088c86ddf25""]"
paraphrase-003,paraphrased,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.0242,0.01,0.0044,0.0017,0.0081,0.7428558468818665,0.02477705478668213,0.06861156225204468,0.7214780648549398,top_score,True,True,"[""p-d27e59d151ac28fe77aa0d0c"", ""p-4d0b8d45b50ddd21eebbc6e2"", ""p-08164dd0e26972c0cc67461c"", ""p-1b73c8d4a497af06ccb70d2a"", ""p-b375014a61ef56bc87b7113b"", ""p-5d828b3574737820c227cd3a"", ""p-bff74b1ed72ed1b197219585"", ""p-40c445cd895966099ed42fd5"", ""p-9e601e72714bf942806b3101"", ""p-c8ed95e9fccd6dddcbb1c770""]","[""p-d27e59d151ac28fe77aa0d0c"", ""p-4d0b8d45b50ddd21eebbc6e2"", ""p-08164dd0e26972c0cc67461c"", ""p-1b73c8d4a497af06ccb70d2a"", ""p-5d828b3574737820c227cd3a"", ""p-bff74b1ed72ed1b197219585""]"
paraphrase-004,paraphrased,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.022199999999999998,0.0096,0.0047,0.0017,0.0062,0.7703851461410522,0.03472357988357544,0.087921142578125,0.7332485318183899,top_score,True,True,"[""p-115849a454eb796a00f8f516"", ""p-c31f362082c2baabc151fea1"", ""p-e1866ca380e09619e4223faf"", ""p-91db68bda6a044167d1ff667"", ""p-dcc4d98d13226e8b15aaf12f"", ""p-a65780f06c90b04d3bdeab46"", ""p-b9c77ddf52ffb88b9e3cdaff"", ""p-1d6c683067ac6ec0cc6bd170"", ""p-d31e16be266106dc41abf50b"", ""p-ec833812e358ba52de476895""]","[""p-115849a454eb796a00f8f516"", ""p-c31f362082c2baabc151fea1""]"
noisy-001,noisy_transcription,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.0195,0.0079,0.0038,0.0019,0.0059,0.6511495113372803,0.0034331083297729492,0.19705864787101746,0.6136231621106466,top_two_corroboration,True,True,"[""p-1e1191915a34d9f831db0e15"", ""p-d4cd616cabd8af7727257d2d"", ""p-24b3bcdbe8b38a886639f336"", ""p-92c940147cd43e3c776c87bf"", ""p-d53897eef058a4efcf175112"", ""p-2c944e5027a2bd9b698972c0"", ""p-957523a7882c016e97fb511c"", ""p-29661452ddc4c5ddf46af11e"", ""p-dfb12f39aa1d4c1b6ee4ecec"", ""p-e1472f019b6ba700fc235647""]","[""p-1e1191915a34d9f831db0e15"", ""p-d4cd616cabd8af7727257d2d""]"
noisy-002,noisy_transcription,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.021,0.0097,0.0042,0.0017,0.0054,0.7749620676040649,0.03488469123840332,0.08307802677154541,0.7484945257504781,top_score,True,True,"[""p-49dea2ff0181c0cb382470dd"", ""p-f42d6dbf87145235bde48e5b"", ""p-1651003dc3c6d767e83bec40"", ""p-5a1a940c33acbb88dd30428c"", ""p-517aeae9afc547125a074941"", ""p-15c0156397dade787f28d3a4"", ""p-4b0425dcd474f165c64d07c0"", ""p-74b40bb9a0f02311ea77edf7"", ""p-71002049412b74d9a2f04eb8"", ""p-ffbb329c98527cab6af76563""]","[""p-49dea2ff0181c0cb382470dd""]"
noisy-003,noisy_transcription,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.02,0.0081,0.0046,0.0018,0.0055,0.729324221611023,0.027297258377075195,0.16167879104614258,0.6730266412099203,top_score,True,True,"[""p-3ece577a970d77e82d423c3e"", ""p-ac08c614f9bbcfbb6d36e8da"", ""p-45a1dd80e51b1419bb0386cc"", ""p-ed785f5b013d4717166a54e5"", ""p-0822bd42d47c50c90849ba67"", ""p-7a5deed2b38c964109358901"", ""p-c86ba178eca3bc8ff9cedf74"", ""p-fc75c642ab7e50ea307436b9"", ""p-53bc64c51cd9961f0a682e21"", ""p-ef46d65eea568170eff54c98""]","[""p-3ece577a970d77e82d423c3e""]"
noisy-004,noisy_transcription,ANSWER,ANSWER,True,ANSWER_GROUNDED,False,False,NONE,0.0205,0.0081,0.0041,0.0016,0.0067,0.7457942962646484,0.01328730583190918,0.06887698173522949,0.7368873556454977,top_score,True,True,"[""p-0e00606276bb7c4c119825b5"", ""p-a15050032ef7049c29b3f1be"", ""p-7a6c87c4fce589f3fc7fc41b"", ""p-752a492fd82bbc0d2491195c"", ""p-971ba96953b843f1d0641b20"", ""p-dd17457f035599c3816c2ecc"", ""p-51cb5e5578cb3ac054fbc418"", ""p-c3ff2563ddb19357db78171d"", ""p-b0eb8d91b543367fed18cedf"", ""p-66429b6c1058eb1aad51d57a""]","[""p-0e00606276bb7c4c119825b5"", ""p-7a6c87c4fce589f3fc7fc41b""]"
insufficient-001,insufficient_evidence,INSUFFICIENT_CONTEXT,INSUFFICIENT_CONTEXT,True,RETRIEVAL_LOW_CONFIDENCE,False,False,NONE,0.019299999999999998,0.0121,0.0052,0.002,0.0,0.5955692529678345,0.06800639629364014,0.1042865514755249,0.5406638085842133,below_threshold_without_consistency_rescue,False,,"[""p-99e9961bd81dc088c86ddf25"", ""p-69aa0504677f3ba496d1b1e3"", ""p-2a6b28ba732e15f71f4c76c2"", ""p-087565a33194ff730fe13cca"", ""p-fa26d07851c0af01511ff22c"", ""p-59fe688dc661712c9455c3c5"", ""p-91e79be249727324bfb2ab41"", ""p-82171dee46fe0009c1731840"", ""p-32a4958ec60ca02c7fa1bc63"", ""p-94484b0fe92fd9694e7f83fd""]",[]
