case_id,category,route,predicted_route,expected_route,route_correct,retrieval_hit_at_10,reason_code,retrieved_count,retrieved_ids_json,stt_ms,input_validation_ms,route_check_ms,query_embedding_ms,vector_search_ms,evidence_guardrail_ms,guardrails_ms,generation_ms,grounding_validation_ms,pre_generation_total_ms
normal-001,normal_answerable,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-4e30291ba19848bb9c88e141"", ""p-26e56367c88ddcdfac5a9de9"", ""p-a4c6c58ee9ff663c159413e1"", ""p-7316bd825dd2d5d19f448980"", ""p-b03ff03fe83117ea176960a5"", ""p-5aa4e4ebb5ca1fafd5c53ac3"", ""p-d776d36cdc1e83c1c6c37ab1"", ""p-b784459440b13b7ec365f678"", ""p-41898b5e8969290abe1513a8"", ""p-d17d485cf7b80f98a362e64f""]",,0.0567,0.1105,36.6599,0.7366,0.0153,0.18250000000000002,,,37.5906
normal-002,normal_answerable,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-99e9961bd81dc088c86ddf25"", ""p-69aa0504677f3ba496d1b1e3"", ""p-7d9296196643ef0380b35173"", ""p-59a7d9065f759703e3012936"", ""p-b9c77ddf52ffb88b9e3cdaff"", ""p-504138b9ad1b98043bb6400b"", ""p-58a3f6132e860abfd84faf46"", ""p-a1a739eb9832ab0dec3c6794"", ""p-5e1f244ead227210c2441944"", ""p-fd595db48bf14c00521b22c1""]",,0.0296,0.0962,36.4415,0.5105,0.0107,0.13649999999999998,,,37.0943
normal-003,normal_answerable,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-49dea2ff0181c0cb382470dd"", ""p-1651003dc3c6d767e83bec40"", ""p-f42d6dbf87145235bde48e5b"", ""p-5a1a940c33acbb88dd30428c"", ""p-517aeae9afc547125a074941"", ""p-15c0156397dade787f28d3a4"", ""p-4b0425dcd474f165c64d07c0"", ""p-ffbb329c98527cab6af76563"", ""p-71002049412b74d9a2f04eb8"", ""p-74b40bb9a0f02311ea77edf7""]",,0.0222,0.083,37.5423,0.7671,0.0117,0.1169,,,38.4315
normal-004,normal_answerable,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-d27e59d151ac28fe77aa0d0c"", ""p-4d0b8d45b50ddd21eebbc6e2"", ""p-08164dd0e26972c0cc67461c"", ""p-1b73c8d4a497af06ccb70d2a"", ""p-b375014a61ef56bc87b7113b"", ""p-5d828b3574737820c227cd3a"", ""p-bff74b1ed72ed1b197219585"", ""p-40c445cd895966099ed42fd5"", ""p-9e601e72714bf942806b3101"", ""p-c8ed95e9fccd6dddcbb1c770""]",,0.0251,0.0976,37.1933,0.5252,0.0079,0.1306,,,37.8533
paraphrase-001,paraphrased,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-7316bd825dd2d5d19f448980"", ""p-4e30291ba19848bb9c88e141"", ""p-a4c6c58ee9ff663c159413e1"", ""p-26e56367c88ddcdfac5a9de9"", ""p-b03ff03fe83117ea176960a5"", ""p-5aa4e4ebb5ca1fafd5c53ac3"", ""p-41898b5e8969290abe1513a8"", ""p-d776d36cdc1e83c1c6c37ab1"", ""p-b784459440b13b7ec365f678"", ""p-e801237b8d30b20bf32f88ba""]",,0.0214,0.0834,37.4111,0.6103,0.0094,0.11420000000000001,,,38.1402
paraphrase-002,paraphrased,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-99e9961bd81dc088c86ddf25"", ""p-82171dee46fe0009c1731840"", ""p-69aa0504677f3ba496d1b1e3"", ""p-87fbff3ae5ac2eca87357ee1"", ""p-f3368cceb8b0d7ca98eede31"", ""p-28c9b0d4523c4f2ad89d8954"", ""p-ae387cc29796d73753db6317"", ""p-fa26d07851c0af01511ff22c"", ""p-32a4958ec60ca02c7fa1bc63"", ""p-5de2d83235956bdbbec490b7""]",,0.0238,0.0805,37.1459,0.609,0.0112,0.1155,,,37.8761
paraphrase-003,paraphrased,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-d27e59d151ac28fe77aa0d0c"", ""p-4d0b8d45b50ddd21eebbc6e2"", ""p-08164dd0e26972c0cc67461c"", ""p-1b73c8d4a497af06ccb70d2a"", ""p-b375014a61ef56bc87b7113b"", ""p-5d828b3574737820c227cd3a"", ""p-bff74b1ed72ed1b197219585"", ""p-40c445cd895966099ed42fd5"", ""p-9e601e72714bf942806b3101"", ""p-c8ed95e9fccd6dddcbb1c770""]",,0.0263,0.1016,39.8152,0.7045,0.0109,0.13879999999999998,,,40.665
paraphrase-004,paraphrased,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-115849a454eb796a00f8f516"", ""p-c31f362082c2baabc151fea1"", ""p-e1866ca380e09619e4223faf"", ""p-91db68bda6a044167d1ff667"", ""p-dcc4d98d13226e8b15aaf12f"", ""p-a65780f06c90b04d3bdeab46"", ""p-b9c77ddf52ffb88b9e3cdaff"", ""p-1d6c683067ac6ec0cc6bd170"", ""p-d31e16be266106dc41abf50b"", ""p-ec833812e358ba52de476895""]",,0.0269,0.1012,37.2334,0.5151,0.0086,0.1367,,,37.8899
noisy-001,noisy_transcription,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-1e1191915a34d9f831db0e15"", ""p-d4cd616cabd8af7727257d2d"", ""p-24b3bcdbe8b38a886639f336"", ""p-92c940147cd43e3c776c87bf"", ""p-d53897eef058a4efcf175112"", ""p-2c944e5027a2bd9b698972c0"", ""p-957523a7882c016e97fb511c"", ""p-29661452ddc4c5ddf46af11e"", ""p-dfb12f39aa1d4c1b6ee4ecec"", ""p-e1472f019b6ba700fc235647""]",,0.0211,0.0807,36.8256,0.5722,0.0101,0.1119,,,37.5142
noisy-002,noisy_transcription,ANSWERABLE_PRE_GENERATION,answer,answer,True,True,GENERATION_SKIPPED,10,"[""p-49dea2ff0181c0cb382470dd"", ""p-f42d6dbf87145235bde48e5b"", ""p-1651003dc3c6d767e83bec40"", ""p-5a1a940c33acbb88dd30428c"", ""p-517aeae9afc547125a074941"", ""p-15c0156397dade787f28d3a4"", ""p-4b0425dcd474f165c64d07c0"", ""p-74b40bb9a0f02311ea77edf7"", ""p-71002049412b74d9a2f04eb8"", ""p-ffbb329c98527cab6af76563""]",,0.0223,0.0939,36.5747,0.5534,0.0089,0.1251,,,37.2578
